"","name","price","powerusage","ratings","size","reviews","offer"
"1","Godrej 2025 Model 1.5 Ton 5 Star Split Inverter With Heavy Duty Cooling At Extreme Temperature AC  - W...","₹37,990","Annual Power Usage: 728.31 Units","4","Room Size: 111 - 150 sqft"," 1,021 Reviews","30% off"
"2","CARRIER 2024 Model 6 in 1 Convertible 1.5 Ton 5 Star Split Inverter AC  - White","₹40,990","Annual Power Usage: 754.05 Units","4.2","Room Size: 111 - 150 sqft"," 3,295 Reviews","46% off"
"3","MarQ by Flipkart 2025 1.5 Ton 5 Star Split Inverter 5-in-1 Convertible with Turbo Cool Technology AC  ...","₹30,990","Annual Power Usage: 781.88 Units","4.2","Room Size: 111 - 150 sqft"," 3,270 Reviews","49% off"
"4","Sansui 2025 Model 5-in-1 Convertible ZEN Cool Technology 1.5 Ton 5 Star Split Inverter with Energy Sav...","₹34,490","Annual Power Usage: 767.34 W","4.1","Room Size: 111 - 150 sqft"," 2,264 Reviews","46% off"
"5","ONIDA 2025 Model 5-in-1 Convertible Cooling 1.5 Ton 5 Star Split Inverter With Deep Cleaning AC  - Whi...","₹33,490","Annual Power Usage: 767.34 Units","4.3","Room Size: 111 - 150 sqft"," 778 Reviews","34% off"
"6","Sansui 2024 Model 1.5 Ton 5 Star Split Inverter AC  - White","₹34,990","Annual Power Usage: 767.34 kWh","4.1","Room Size: 111 - 150 sqft"," 2,264 Reviews","45% off"
"7","MarQ by Flipkart 2024 1.5 Ton 5 Star Split Inverter 4-in-1 Convertible with Turbo Cool Technology AC  ...","₹29,990","Annual Power Usage: 767.34 Units","4.2","Room Size: 111 - 150 sqft"," 3,270 Reviews","50% off"
"8","Midea 2025 Model 6 in 1 Convertible Cooling AI+ 1.5 Ton 5 Star Split Inverter KW Display,PM 2.5 Filter...","₹38,990","Annual Power Usage: 789.6 Units","4.3","Room Size: 111 - 150 sqft"," 434 Reviews","43% off"
"9","realme TechLife 2025 1.5 Ton 5 Star Split Inverter 5-in-1 Convertible with Rapid Cool Technology Smart...","₹31,490","Annual Power Usage: 781.88 Units","4.2","Room Size: 111 - 150 sqft"," 546 Reviews","52% off"
"10","MOTOROLA 2025 1.5 Ton 5 Star Split Inverter Expandable 7-in-1 Convertible with Rapid cool technology A...","₹33,990","Annual Power Usage: 781.88 Units","4.3","Room Size: 111 - 150 sqft"," 195 Reviews","51% off"
"11","Panasonic 2025 Model 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White","₹44,990","Annual Power Usage: 759.55 Units","4.3","Room Size: 111 - 150 sqft"," 2,050 Reviews","30% off"
"12","Daikin 2024 Model 1.5 Ton 5 Star Split Inverter AC with PM 2.5 Filter  - White","₹45,989","Annual Power Usage: 785.67 Units","4.2","Room Size: 111 - 150 sqft"," 1,094 Reviews","31% off"
"13","IFB 2025 Model Silver Plus Series 1.5 Ton 5 Star Split Inverter with HD Compressor, AI, Dual Gold Fin,...","₹39,990","Annual Power Usage: 721.04 Units","4.1","Room Size: 111 - 150 sqft"," 901 Reviews","44% off"
"14","CARRIER 2025 Model Smart Flexicool 6 in 1 Convertible 1.5 Ton 5 Star Split Inverter Smart Energy Displ...","₹42,989","Annual Power Usage: 754.05 Units","4.2","Room Size: 111 - 150 sqft"," 3,295 Reviews","43% off"
"15","Panasonic 2024 Model 7 in 1 Convertible with True AI Mode,Matter Enabled 1.5 Ton 5 Star Split Inverter...","₹40,990","Annual Power Usage: 774.19 Units","4.3","Room Size: 111 - 150 sqft"," 2,050 Reviews","35% off"
"16","Voltas 2024 Model 1.5 Ton 5 Star Split Inverter AC  - White","₹39,990","Annual Power Usage: 751.28 Units","4.2","Room Size: 111 - 150 sqft"," 3,569 Reviews","47% off"
"17","Haier 2025 Model Intelli-Convertible 7 in1 Convertible 1.5 Ton 5 Star Split Inverter Expandable HD Fil...","₹41,990","Annual Power Usage: 714.29 Units","4.1","Room Size: 111 - 150 sqft"," 221 Reviews","40% off"
"18","Lloyd 2025 Model 1.5 Ton 5 Star Split Inverter AC  - White","₹41,490","Annual Power Usage: 715.07 W","4.1","Room Size: 111 - 150 sqft"," 1,232 Reviews","38% off"
"19","Blue Star 2025 Model 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White","₹44,490","Annual Power Usage: 783.33 Units","4.1","Room Size: 111 - 150 sqft"," 1,013 Reviews","40% off"
"20","Samsung 2025 Model Bespoke AI, 5 Step Convertible 1.5 Ton 5 Star Split Inverter with Powerful cooling ...","₹45,490","Annual Power Usage: 751.24 Units","4.3","Room Size: 111 - 150 sqft"," 2,579 Reviews","37% off"
"21","Whirlpool 2025 Model 1.5 Ton 5 Star Split Inverter AC  - White","₹36,350","Annual Power Usage: 728.95 Units","4.2","Room Size: 111 - 150 sqft"," 2,368 Reviews","22% off"
"22","Lloyd 2025 Model 1.5 Ton 5 Star Split Inverter AC  - White","₹41,490","Annual Power Usage: 715.07 Units","4.1","Room Size: 111 - 150 sqft"," 1,232 Reviews","38% off"
"23","Voltas 2024 Model 1.5 Ton 5 Star Split Inverter AC  - White","₹42,599","Annual Power Usage: 751.28 Units","4.2","Room Size: 111 - 150 sqft"," 3,569 Reviews","43% off"
"24","CARRIER Dust Filter 1.5 Ton 5 Star Window Inverter AC  - White, Grey","₹34,490","Annual Power Usage: 1114.62 kWh","4.3","Room Size: 111 - 150 sqft"," 108 Reviews","40% off"
